able,able  more|able  most
afraid,afraid  more|afraid  most
alert,alert  more|alert  most
alive,alive  more|alive  most
amazed,amazed  more|amazed  most
angry,angrier|angriest
ashamed,ashamed  more|ashamed  most
attracted,attracted  more|attracted  most
attractive,attractive  more|attractive  most
awake,awake  more|awake  most
bad,worse|worst
barren,barren  more|barren  most
beautiful,beautiful  more|beautiful  most
big,bigger|biggest
bitter,bitter  more|bitter  most
black,blacker|blackest
blameless,blameless  more|blameless  most
blind,blinder|blindest
blue,blue  more|blue  most
brave,braver|bravest
bright,brighter|brightest
calm,calm  more|calm  most
careful,careful  more|careful  most
clean,cleaner|cleanest
clever,clever  more|clever  most
close,closer|closest
cold,colder|coldest
comfortable,comfortable  more|comfortable  most
common,common  more|common  most
compassionate,compassionate  more|compassionate  most
confused,confused  more|confused  most
conscious,conscious  more|conscious  most
content,content  more|content  most
cool,cooler|coolest
correct,correct  more|correct  most
corrupt,corrupt  more|corrupt  most
courageous,courageous  more|courageous  most
crazy,crazier|craziest
cruel,crueler|cruelest
dangerous,dangerous  more|dangerous  most
dark,darker|darkest
dead,deader|deadest
deaf,deafer|deafest
deep,deeper|deepest
delicious,delicious  more|delicious  most
difficult,difficult  more|difficult  most
dirty,dirtier|dirtiest
drunk,drunk  more|drunk  most
dry,drier|driest
early,earlier|earliest
easy,easier|easiest
empty,empty  more|empty  most
evil,evil  more|evil  most
excited,excited  more|excited  most
expensive,expensive  more|expensive  most
extraordinary,extraordinary  more|extraordinary  most
fair,fairer|fairest
faithful,faithful  more|faithful  most
false,false  more|false  most
famous,famous  more|famous  most
far,further|furthest
fast,faster|fastest
fat,fatter|fattest
fertile,fertile  more|fertile  most
few,fewer|fewest
flat,flatter|flattest
foolish,foolish  more|foolish  most
fortunate,fortunate  more|fortunate  most
free,free  more|free  most
fresh,fresher|freshest
fruitful,fruitful  more|fruitful  most
full,fuller|fullest
generous,generous  more|generous  most
gentle,gentle  more|gentle  most
glad,glad  more|glad  most
glorious,glorious  more|glorious  most
good,better|best
great,greater|greatest
green,greener|greenest
guilty,guilty  more|guilty  most
handsome,handsome  more|handsome  most
happy,happier|happiest
hard,harder|hardest
healthy,healthier|healthiest
heavy,heavier|heaviest
high,higher|highest
holy,holier|holiest
honest,honest  more|honest  most
horizontal,horizontal  more|horizontal  most
hot,hotter|hottest
humble,humble  more|humble  most
hungry,hungrier|hungriest
important,important  more|important  most
infectious,infectious  more|infectious  most
inner,inner  more|inner  most
innocent,innocent  more|innocent  most
interested,interested  more|interested  most
interesting,interesting  more|interesting  most
jealous,jealous  more|jealous  most
Jewish,Jewish  more|Jewish  most
joyful,joyful  more|joyful  most
just,just  more|just  most
kind,kinder|kindest
lame,lame  more|lame  most
lazy,lazier|laziest
light,lighter|lightest
living,living  more|living  most
lonely,lonelier|loneliest
long,longer|longest
lost,lost  more|lost  most
loud,louder|loudest
low,lower|lowest
lucky,lucky  more|lucky  most
mature,mature  more|mature  most
merciful,merciful  more|merciful  most
miserable,miserable  more|miserable  most
mute,mute  more|mute  most
naked,naked  more|naked  most
narrow,narrower|narrowest
new,newer|newest
noble,nobler|noblest
old,older|oldest
ordinary,ordinarier|ordinariest
paralyzed,paralyzed  more|paralyzed  most
patient,patient  more|patient  most
peaceful,peaceful  more|peaceful  most
perfect,perfect  more|perfect  most
pleased,pleased  more|pleased  most
poisonous,poisonous  more|poisonous  most
poor,poorer|poorest
powerful,powerful  more|powerful  most
pregnant,pregnant  more|pregnant  most
prosperous,prosperous  more|prosperous  most
proud,prouder|proudest
pure,purer|purest
quiet,quiet  more|quiet  most
raw,rawer|rawest
ready,readier|readiest
red,redder|reddest
religious,religious  more|religious  most
responsible,responsible  more|responsible  most
rich,richer|richest
righteous,righteous  more|righteous  most
ripe,riper|ripest
rough,rougher|roughest
rude,ruder|rudest
sad,sadder|saddest
safe,safer|safest
satisfied,satisfied  more|satisfied  most
selfish,selfish  more|selfish  most
sensible,sensible  more|sensible  most
serious,serious  more|serious  most
severe,severe  more|severe  most
sharp,sharper|sharpest
shiny,shinier|shiniest
short,shorter|shortest
shriveled,shriveled  more|shriveled  most
sick,sicker|sickest
similar,similar  more|similar  most
sleepy,sleepier|sleepiest
small,smaller|smallest
smooth,smoother|smoothest
soft,softer|softest
solid,solid  more|solid  most
sore,sore  more|sore  most
sorry,sorry  more|sorry  most
sour,sour  more|sour  most
special,special  more|special  most
steep,steeper|steepest
straight,straighter|straightest
strange,stranger|strangest
strict,stricter|strictest
strong,stronger|strongest
stubborn,stubborn  more|stubborn  most
stupid,stupid  more|stupid  most
successful,successful  more|successful  most
surprised,surprised  more|surprised  most
sweet,sweeter|sweetest
tall,taller|tallest
terrible,terrible  more|terrible  most
terrified,terrified  more|terrified  most
thin,thinner|thinnest
thirsty,thirsty  more|thirsty  most
thorny,thornier|thorniest
tired,tired  more|tired  most
troubled,troubled  more|troubled  most
true,truer|truest
ugly,uglier|ugliest
unclean,unclean  more|unclean  most
upset,upset  more|upset  most
valuable,valuable  more|valuable  most
violent,violent  more|violent  most
warm,warmer|warmest
weak,weaker|weakest
well,weller|wellest
wet,wetter|wettest
white,whiter|whitest
wicked,wicked  more|wicked  most
wide,wider|widest
wild,wilder|wildest
willing,willing  more|willing  most
wise,wiser|wisest
wonderful,wonderful  more|wonderful  most
worthless,worthless  more|worthless  most
worthy,worthy  more|worthy  most
young,younger|youngest
