abandon,abandoned|abandoned|abandoning|abandons
accept,accepted|accepted|accepting|accepts
accuse,accused|accused|accusing|accuses
act,acted|acted|acting|acts
admire,admired|admired|admiring|admires
admit,admitted|admitted|admitting|admits
advise,advised|advised|advising|advises
affect,affected|affected|affecting|affects
agree,agreed|agreed|agreeing|agrees
allow,allowed|allowed|allowing|allows
amaze,amazed|amazed|amazing|amazes
announce,announced|announced|announcing|announces
annoy,annoyed|annoyed|annoying|annoys
anoint,anointed|anointed|anointing|anoints
answer,answered|answered|answering|answers
appear,appeared|appeared|appearing|appears
appoint,appointed|appointed|appointing|appoints
approve,approved|approved|approving|approves
argue,argued|argued|arguing|argues
arrest,arrested|arrested|arresting|arrests
arrive,arrived|arrived|arriving|arrives
ask,asked|asked|asking|asks
assist,assisted|assisted|assisting|assists
attach,attached|attached|attaching|attaches
attack,attacked|attacked|attacking|attacks
attend,attended|attended|attending|attends
avoid,avoided|avoided|avoiding|avoids
bake,baked|baked|baking|bakes
baptize,baptized|baptized|baptizing|baptizes
bark,barked|barked|barking|barks
be,was|been|being|is
be born,was|been|being|is
be concerned,bed|bed|bing|bes
be determined,was|been|being|is
be fulfilled,bed|bed|bing|bes
be locked,bed|bed|bing|bes
be married,was|been|being|is
be tied,was|been|being|is
be worried,was|been|being|is
be hurt,bed|bed|bing|bes
beat,beat|beaten|beating|beats
become,became|become|becoming|becomes
beg,begged|begged|begging|begs
begin,began|began|beginning|begins
behave,behaved|behaved|behaving|behaves
behold,beheld|beheld|beholding|beholds
believe,believed|believed|believing|believes
belong,belonged|belonged|belonging|belongs
bend,bent|bent|bending|bends
bend over,bent|bent|bending|bends
betray,betrayed|betrayed|betraying|betrays
birth,birthed|birthed|birthing|births
bite,bit|bitten|biting|bites
blame,blamed|blamed|blaming|blames
blaspheme,blasphemed|blasphemed|blaspheming|blasphemes
bleed,bled|bled|bleeding|bleeds
bleet,bleeted|bleeted|bleeting|bleets
bless,blessed|blessed|blessing|blesses
blow,blew|blown|blowing|blows
board,boarded|boarded|boarding|boards
boast,boasted|boasted|boasting|boasts
boil,boiled|boiled|boiling|boils
borrow,borrowed|borrowed|borrowing|borrows
bother,bothered|bothered|bothering|bothers
bow,bowed|bowed|bowing|bows
break,broke|broken|breaking|breaks
breathe,breathed|breathed|breathing|breathes
bring,brought|brought|bringing|brings
build,built|built|building|builds
burn,burned|burned|burning|burns
burst,burst|burst|bursting|bursts
bury,buried|buried|burying|buries
buy,bought|bought|buying|buys
calculate,calculated|calculated|calculating|calculates
call,called|called|calling|calls
camp,camped|camped|camping|camps
cancel,cancelled|cancelled|cancelling|cancels
capture,captured|captured|capturing|captures
care,cared|cared|caring|cares
carry,carried|carried|carrying|carries
carve,carved|carved|carving|carves
cast,cast|cast|casting|casts
catch,caught|caught|catching|catches
catch up,caught|caught|catching|catches
cause,caused|caused|causing|causes
celebrate,celebrated|celebrated|celebrating|celebrates
change,changed|changed|changing|changes
